Date,Open,High,Low,Close
20060911,6713,6773.5,6671.5,6735
20060912,6750,6842,6710.5,6810.5
20060913,6831.5,6845,6811.5,6838
20060914,6849,6870.5,6824.5,6844.5
20060915,6853,6890.5,6841.5,6866.5
20060918,6878,6885,6829.5,6861
20060919,6851.5,6864.5,6778.5,6807.5
20060920,6809,6896.5,6804.5,6886
20060921,6891.5,6913,6858.5,6899.5
20060922,6856,6862.5,6788.5,6805.5
20060925,6833.5,6869.5,6794.5,6828.5
20060926,6869.5,6909.5,6856,6894
20060927,6913.5,6930.5,6884.5,6917.5
20060928,6923.5,6932,6901,6916.5
20060929,6931,6960,6919.5,6930.5
20061002,6955,6960.5,6890.5,6920
20061003,6906,6953.5,6870.5,6915.5
20061004,6927,6979,6924,6976.5
20061005,7025,7025.5,6993.5,7004
20061006,7006.5,7018.5,6977,7010
20061009,7003.5,7019.5,6977.5,7006.5
20061010,7018,7053.5,7012.5,7047
20061011,7029.5,7058.5,7003,7045
20061012,7047.5,7087.5,7034,7085
20061013,7102.5,7112,7074,7094
20061016,7112.5,7112.5,7083,7105
20061017,7102.5,7102.5,7026.5,7029
20061018,7058,7133,7058,7105
20061019,7078.5,7123,7067,7100.5
20061020,7111.5,7137.5,7094.5,7121
20061023,7141.5,7168.5,7102.5,7157.5
20061024,7159.5,7170.5,7144.5,7162.5
20061025,7160,7194,7150.5,7181.5
20061026,7198,7220.5,7185,7196
20061027,7212.5,7216.5,7144.5,7178.5
20061030,7152,7185.5,7122.5,7175
20061031,7175.5,7201,7151,7179
20061101,7187,7226.5,7165.5,7208
20061102,7173.5,7208,7111.5,7136.5
20061103,7144.5,7189.5,7125.5,7149.5
20061106,7152.5,7246,7152,7240.5
20061107,7240.5,7265.5,7238,7271.5
20061108,7251,7275.5,7227,7262.5
20061109,7268.5,7277.5,7238,7262
20061110,7254,7273,7215.5,7260.5
20061113,7263,7311,7251,7300
20061114,7304,7316.5,7269,7290
20061115,7323.5,7339,7311.5,7334.5
20061116,7333.5,7363,7319.5,7347
20061117,7338.5,7354.5,7301.5,7321
20061120,7310.5,7362,7267.5,7354.5
20061121,7348,7380,7345,7361
20061122,7382.5,7396.5,7353,7378
20061123,7386,7394.5,7359.5,7374.5
20061124,7365.5,7370,7265,7313
20061127,7289,7318.5,7176,7200.5
20061128,7182.5,7204.5,7144.5,7176
20061129,7200.5,7264.5,7193,7259.5
20061130,7269,7298,7184,7205.5
20061201,7226.5,7255.5,7090.5,7142.5
20061204,7135.5,7196,7123.5,7190.5
20061205,7199.5,7275.5,7179.5,7265
20061206,7265.5,7277.5,7233,7264
20061207,7245,7332,7240.5,7298.5
20061208,7284.5,7341,7240.5,7315.5
20061211,7327.5,7367,7327.5,7359
20061212,7352,7373.5,7336.5,7366
20061213,7346.5,7415,7345,7407.5
20061214,7427.5,7460.5,7410.5,7438.5
20061215,7466,7491.5,7443.5,7477.5
20061218,7470.5,7501,7455.5,7477.5
20061219,7455.5,7464.5,7408,7441
20061220,7477,7491,7442.5,7472
20061221,7447.5,7477,7423.5,7457.5
20061222,7450,7457,7368.5,7376.5
20061227,7413.5,7495.5,7412,7489.5
20061228,7502,7504.5,7477,7491
20061229,7490.5,7501.5,7471.5,7478
20070102,7500,7565.5,7495.5,7554.5
20070103,7555.5,7579.5,7544,7566.5
20070104,7528.5,7557.5,7506,7548
20070105,7534.5,7537,7457,7461.5
20070108,7462.5,7501,7438,7477.5
20070109,7515.5,7539,7448,7479.5
20070110,7451,7468,7399.5,7438
20070111,7468.5,7569,7439.5,7561
20070112,7541,7588,7530,7565.5
20070115,7596.5,7614,7590.5,7603
20070116,7601.5,7612,7570.5,7579
20070117,7582.5,7599.5,7537.5,7561.5
20070118,7580.5,7602.5,7523,7554
20070119,7533.5,7617,7513,7610
20070122,7622.5,7628,7530.5,7552.5
20070123,7550,7564.5,7486.5,7539
20070124,7564.5,7621.5,7540.5,7609.5
20070125,7617.5,7632,7552,7576.5
20070126,7532,7589.5,7517.5,7557
20070129,7562,7598,7539.5,7583
20070130,7584.5,7657,7565.5,7646.5
20070131,7636.5,7660,7613.5,7640
20070201,7681.5,7730.5,7679.5,7706
20070202,7722.5,7758,7710,7744.5
20070205,7730.5,7744,7716,7729.5
20070206,7743.5,7759,7711.5,7727.5
20070207,7734.5,7779.5,7733,7764
20070208,7759.5,7767.5,7699,7730
20070209,7764,7776.5,7741.5,7762.5
20070212,7714.5,7735.5,7690.5,7710.5
20070213,7725.5,7761,7711.5,7733.5
20070214,7768.5,7812,7752.5,7808
20070215,7809.5,7816,7793.5,7807
20070216,7795,7824.5,7784.5,7799
20070219,7817,7837.5,7815.5,7829
20070220,7833.5,7845,7778,7824.5
20070221,7841.5,7846.5,7763.5,7782
20070222,7824.5,7852,7812.5,7820
20070223,7836.5,7839.5,7803,7824.5
20070226,7838.5,7878,7836.5,7865
20070227,7847,7847.5,7620.5,7663
20070228,7535.5,7613.5,7512.5,7573.5
20070301,7513,7592,7378.5,7472.5
20070302,7455.5,7536,7388,7444.5
20070305,7288.5,7397.5,7247,7378.5
20070306,7370,7447.5,7370,7424
20070307,7446.5,7477.5,7415.5,7453
20070308,7483,7551,7469,7531.5
20070309,7527,7573,7493.5,7539
20070312,7570.5,7581.5,7501.5,7547.5
20070313,7543.5,7552,7391.5,7456.5
20070314,7344.5,7362,7247.5,7283
20070315,7385,7421.5,7330.5,7396
20070316,7366.5,7439,7350,7398.5
20070319,7469.5,7501,7452,7488
20070320,7496,7528.5,7456.5,7507.5
20070321,7514.5,7563.5,7508.5,7562
20070322,7659.5,7693.5,7630,7666.5
20070323,7665,7724,7650,7718.5
20070326,7719.5,7724.5,7622,7670
20070327,7693.5,7703.5,7658.5,7689.5
20070328,7655.5,7682,7608,7672
20070329,7676,7722.5,7665.5,7688.5
20070330,7724,7783,7700.5,7730.5
20070402,7727.5,7763,7707,7752.5
20070403,7789.5,7873,7789.5,7864
20070404,7891.5,7901.5,7854,7894
20070405,7889.5,7931,7879.5,7928.5
20070410,7925.5,7984.5,7923,7976
20070411,7976.5,8013,7952.5,7969
20070412,7961.5,7975,7896.5,7975
20070413,7971,8027,7962,8021.5
20070416,8048.5,8160.5,8041.5,8145.5
20070417,8132.5,8177,8100.5,8150
20070418,8139.5,8147.5,8051.5,8082.5
20070419,8049.5,8081,7960,8077.5
20070420,8074.5,8177,8070.5,8129
20070423,8152,8163.5,8109,8136
20070424,8130,8147,8026,8089.5
20070425,8080.5,8171.5,8070.5,8151.5
20070426,8198.5,8221,8163,8193.5
20070427,8194.5,8210.5,8137,8199.5
20070430,8185,8238.5,8159.5,8220.5
20070502,8210.5,8267,8210.5,8264
20070503,8262.5,8285,8221,8265
20070504,8279,8323,8261,8312
20070507,8337.5,8341.5,8303,8320
20070508,8304,8315,8208,8257.5
20070509,8281,8285.5,8221.5,8276.5
